"Date","Time (LST)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/10/17","00:00","7.51","-","8.48"
"2023/10/17","00:06","7.505","-","8.5"
"2023/10/17","00:12","7.492","-","8.53"
"2023/10/17","00:18","7.472","-","8.55"
"2023/10/17","00:24","7.446","-","8.56"
"2023/10/17","00:30","7.413","-","8.58"
"2023/10/17","00:36","7.376","-","8.59"
"2023/10/17","00:42","7.334","-","8.6"
"2023/10/17","00:48","7.287","-","8.6"
"2023/10/17","00:54","7.236","-","8.6"
"2023/10/17","01:00","7.182","-","8.59"
"2023/10/17","01:06","7.123","-","8.57"
"2023/10/17","01:12","7.062","-","8.55"
"2023/10/17","01:18","6.996","-","8.54"
"2023/10/17","01:24","6.927","-","8.51"
"2023/10/17","01:30","6.854","-","8.47"
"2023/10/17","01:36","6.777","-","8.44"
"2023/10/17","01:42","6.695","-","8.37"
"2023/10/17","01:48","6.608","-","8.31"
"2023/10/17","01:54","6.516","-","8.23"
"2023/10/17","02:00","6.419","-","8.12"
"2023/10/17","02:06","6.315","-","8.01"
"2023/10/17","02:12","6.206","-","7.89"
"2023/10/17","02:18","6.09","-","7.73"
"2023/10/17","02:24","5.967","-","7.58"
"2023/10/17","02:30","5.837","-","7.41"
"2023/10/17","02:36","5.7","-","7.22"
"2023/10/17","02:42","5.556","-","7.01"
"2023/10/17","02:48","5.405","-","6.79"
"2023/10/17","02:54","5.247","-","6.57"
"2023/10/17","03:00","5.082","-","6.33"
"2023/10/17","03:06","4.911","-","6.09"
"2023/10/17","03:12","4.733","-","5.84"
"2023/10/17","03:18","4.55","-","5.6"
"2023/10/17","03:24","4.362","-","5.36"
"2023/10/17","03:30","4.17","-","5.12"
"2023/10/17","03:36","3.974","-","4.88"
"2023/10/17","03:42","3.776","-","4.64"
"2023/10/17","03:48","3.575","-","4.42"
"2023/10/17","03:54","3.374","-","4.21"
"2023/10/17","04:00","3.173","-","3.99"
"2023/10/17","04:06","2.974","-","3.8"
"2023/10/17","04:12","2.776","-","3.6"
"2023/10/17","04:18","2.582","-","3.42"
"2023/10/17","04:24","2.393","-","3.24"
"2023/10/17","04:30","2.209","-","3.07"
"2023/10/17","04:36","2.032","-","2.92"
"2023/10/17","04:42","1.862","-","2.77"
"2023/10/17","04:48","1.701","-","2.64"
"2023/10/17","04:54","1.549","-","2.52"
"2023/10/17","05:00","1.407","-","2.41"
"2023/10/17","05:06","1.276","-","2.3"
"2023/10/17","05:12","1.156","-","2.22"
"2023/10/17","05:18","1.048","-","2.15"
"2023/10/17","05:24","0.952","-","2.09"
"2023/10/17","05:30","0.868","-","2.04"
"2023/10/17","05:36","0.797","-","2.01"
"2023/10/17","05:42","0.738","-","1.99"
"2023/10/17","05:48","0.691","-","1.98"
"2023/10/17","05:54","0.655","-","1.97"
"2023/10/17","06:00","0.632","-","1.96"
"2023/10/17","06:06","0.619","-","1.96"
"2023/10/17","06:12","0.616","-","1.96"
"2023/10/17","06:18","0.624","-","1.94"
"2023/10/17","06:24","0.641","-","1.93"
"2023/10/17","06:30","0.666","-","1.92"
"2023/10/17","06:36","0.699","-","1.91"
"2023/10/17","06:42","0.739","-","1.88"
"2023/10/17","06:48","0.786","-","1.88"
"2023/10/17","06:54","0.839","-","1.88"
"2023/10/17","07:00","0.897","-","1.88"
"2023/10/17","07:06","0.961","-","1.88"
"2023/10/17","07:12","1.029","-","1.88"
"2023/10/17","07:18","1.101","-","1.89"
"2023/10/17","07:24","1.178","-","1.92"
"2023/10/17","07:30","1.259","-","1.95"
"2023/10/17","07:36","1.345","-","1.99"
"2023/10/17","07:42","1.435","-","2.03"
"2023/10/17","07:48","1.529","-","2.09"
"2023/10/17","07:54","1.629","-","2.17"
"2023/10/17","08:00","1.734","-","2.25"
"2023/10/17","08:06","1.846","-","2.35"
"2023/10/17","08:12","1.963","-","2.47"
"2023/10/17","08:18","2.088","-","2.6"
"2023/10/17","08:24","2.22","-","2.75"
"2023/10/17","08:30","2.36","-","2.92"
"2023/10/17","08:36","2.509","-","3.08"
"2023/10/17","08:42","2.666","-","3.28"
"2023/10/17","08:48","2.832","-","3.49"
"2023/10/17","08:54","3.007","-","3.71"
"2023/10/17","09:00","3.191","-","3.93"
"2023/10/17","09:06","3.385","-","4.17"
"2023/10/17","09:12","3.586","-","4.41"
"2023/10/17","09:18","3.796","-","4.67"
"2023/10/17","09:24","4.014","-","4.92"
"2023/10/17","09:30","4.238","-","5.18"
"2023/10/17","09:36","4.468","-","5.43"
"2023/10/17","09:42","4.703","-","5.7"
"2023/10/17","09:48","4.942","-","5.96"
"2023/10/17","09:54","5.183","-","6.21"
"2023/10/17","10:00","5.424","-","6.46"
"2023/10/17","10:06","5.665","-","6.71"
"2023/10/17","10:12","5.904","-","6.94"
"2023/10/17","10:18","6.139","-","7.17"
"2023/10/17","10:24","6.369","-","7.38"
"2023/10/17","10:30","6.593","-","7.58"
"2023/10/17","10:36","6.808","-","7.78"
"2023/10/17","10:42","7.013","-","7.95"
"2023/10/17","10:48","7.208","-","8.11"
"2023/10/17","10:54","7.391","-","8.27"
"2023/10/17","11:00","7.561","-","8.4"
"2023/10/17","11:06","7.717","-","8.53"
"2023/10/17","11:12","7.859","-","8.64"
"2023/10/17","11:18","7.986","-","8.74"
"2023/10/17","11:24","8.098","-","8.82"
"2023/10/17","11:30","8.194","-","8.89"
"2023/10/17","11:36","8.276","-","8.95"
"2023/10/17","11:42","8.342","-","9"
"2023/10/17","11:48","8.393","-","9.04"
"2023/10/17","11:54","8.43","-","9.06"
"2023/10/17","12:00","8.453","-","9.09"
"2023/10/17","12:06","8.464","-","9.1"
"2023/10/17","12:12","8.462","-","9.12"
"2023/10/17","12:18","8.449","-","9.13"
"2023/10/17","12:24","8.425","-","9.14"
"2023/10/17","12:30","8.391","-","9.15"
"2023/10/17","12:36","8.349","-","9.16"
"2023/10/17","12:42","8.299","-","9.16"
"2023/10/17","12:48","8.242","-","9.16"
"2023/10/17","12:54","8.179","-","9.15"
"2023/10/17","13:00","8.11","-","9.14"
"2023/10/17","13:06","8.035","-","9.12"
"2023/10/17","13:12","7.957","-","9.09"
"2023/10/17","13:18","7.874","-","9.06"
"2023/10/17","13:24","7.788","-","9.01"
"2023/10/17","13:30","7.698","-","8.94"
"2023/10/17","13:36","7.604","-","8.88"
"2023/10/17","13:42","7.507","-","8.82"
"2023/10/17","13:48","7.407","-","8.74"
"2023/10/17","13:54","7.303","-","8.65"
"2023/10/17","14:00","7.196","-","8.55"
"2023/10/17","14:06","7.085","-","8.45"
"2023/10/17","14:12","6.969","-","8.32"
"2023/10/17","14:18","6.849","-","8.18"
"2023/10/17","14:24","6.724","-","8.03"
"2023/10/17","14:30","6.594","-","7.86"
"2023/10/17","14:36","6.458","-","7.68"
"2023/10/17","14:42","6.317","-","7.49"
"2023/10/17","14:48","6.17","-","7.29"
"2023/10/17","14:54","6.016","-","7.08"
"2023/10/17","15:00","5.856","-","6.85"
"2023/10/17","15:06","5.689","-","6.63"
"2023/10/17","15:12","5.517","-","6.39"
"2023/10/17","15:18","5.337","-","6.16"
"2023/10/17","15:24","5.152","-","5.92"
"2023/10/17","15:30","4.961","-","5.68"
"2023/10/17","15:36","4.764","-","5.44"
"2023/10/17","15:42","4.562","-","5.2"
"2023/10/17","15:48","4.355","-","4.96"
"2023/10/17","15:54","4.145","-","4.72"
"2023/10/17","16:00","3.931","-","4.49"
"2023/10/17","16:06","3.715","-","4.26"
"2023/10/17","16:12","3.497","-","4.04"
"2023/10/17","16:18","3.278","-","3.82"
"2023/10/17","16:24","3.06","-","3.6"
"2023/10/17","16:30","2.844","-","3.4"
"2023/10/17","16:36","2.629","-","3.2"
"2023/10/17","16:42","2.418","-","3"
"2023/10/17","16:48","2.212","-","2.82"
"2023/10/17","16:54","2.011","-","2.65"
"2023/10/17","17:00","1.817","-","2.49"
"2023/10/17","17:06","1.63","-","2.33"
"2023/10/17","17:12","1.452","-","2.19"
"2023/10/17","17:18","1.283","-","2.05"
"2023/10/17","17:24","1.124","-","1.93"
"2023/10/17","17:30","0.975","-","1.81"
"2023/10/17","17:36","0.838","-","1.72"
"2023/10/17","17:42","0.713","-","1.64"
"2023/10/17","17:48","0.6","-","1.58"
"2023/10/17","17:54","0.499","-","1.53"
"2023/10/17","18:00","0.41","-","1.48"
"2023/10/17","18:06","0.334","-","1.46"
"2023/10/17","18:12","0.27","-","1.43"
"2023/10/17","18:18","0.218","-","1.42"
"2023/10/17","18:24","0.177","-","1.41"
"2023/10/17","18:30","0.147","-","1.39"
"2023/10/17","18:36","0.128","-","1.38"
"2023/10/17","18:42","0.118","-","1.35"
"2023/10/17","18:48","0.118","-","1.32"
"2023/10/17","18:54","0.126","-","1.29"
"2023/10/17","19:00","0.142","-","1.25"
"2023/10/17","19:06","0.166","-","1.21"
"2023/10/17","19:12","0.196","-","1.17"
"2023/10/17","19:18","0.232","-","1.13"
"2023/10/17","19:24","0.273","-","1.08"
"2023/10/17","19:30","0.319","-","1.05"
"2023/10/17","19:36","0.37","-","1.02"
"2023/10/17","19:42","0.425","-","1"
"2023/10/17","19:48","0.484","-","0.99"
"2023/10/17","19:54","0.548","-","0.99"
"2023/10/17","20:00","0.615","-","1"
"2023/10/17","20:06","0.687","-","1.03"
"2023/10/17","20:12","0.763","-","1.07"
"2023/10/17","20:18","0.844","-","1.13"
"2023/10/17","20:24","0.931","-","1.2"
"2023/10/17","20:30","1.023","-","1.3"
"2023/10/17","20:36","1.121","-","1.41"
"2023/10/17","20:42","1.227","-","1.54"
"2023/10/17","20:48","1.34","-","1.7"
"2023/10/17","20:54","1.461","-","1.87"
"2023/10/17","21:00","1.59","-","2.05"
"2023/10/17","21:06","1.729","-","2.26"
"2023/10/17","21:12","1.876","-","2.48"
"2023/10/17","21:18","2.033","-","2.72"
"2023/10/17","21:24","2.199","-","2.97"
"2023/10/17","21:30","2.375","-","3.23"
"2023/10/17","21:36","2.56","-","3.49"
"2023/10/17","21:42","2.754","-","3.76"
"2023/10/17","21:48","2.956","-","4.04"
"2023/10/17","21:54","3.166","-","4.31"
"2023/10/17","22:00","3.383","-","4.58"
"2023/10/17","22:06","3.606","-","4.85"
"2023/10/17","22:12","3.833","-","5.11"
"2023/10/17","22:18","4.063","-","5.37"
"2023/10/17","22:24","4.296","-","5.62"
"2023/10/17","22:30","4.529","-","5.85"
"2023/10/17","22:36","4.761","-","6.07"
"2023/10/17","22:42","4.991","-","6.28"
"2023/10/17","22:48","5.217","-","6.47"
"2023/10/17","22:54","5.438","-","6.64"
"2023/10/17","23:00","5.651","-","6.81"
"2023/10/17","23:06","5.857","-","6.97"
"2023/10/17","23:12","6.052","-","7.11"
"2023/10/17","23:18","6.238","-","7.24"
"2023/10/17","23:24","6.411","-","7.36"
"2023/10/17","23:30","6.572","-","7.46"
"2023/10/17","23:36","6.719","-","7.56"
"2023/10/17","23:42","6.853","-","7.64"
"2023/10/17","23:48","6.973","-","7.71"
"2023/10/17","23:54","7.078","-","7.77"
"2023/10/18","00:00","7.168","-","7.82"
"2023/10/18","00:06","7.245","-","7.85"
"2023/10/18","00:12","7.307","-","7.88"
"2023/10/18","00:18","7.356","-","7.91"
"2023/10/18","00:24","7.392","-","7.93"
"2023/10/18","00:30","7.415","-","7.94"
"2023/10/18","00:36","7.427","-","7.97"
"2023/10/18","00:42","7.428","-","7.99"
"2023/10/18","00:48","7.419","-","8.01"
"2023/10/18","00:54","7.401","-","8.04"
"2023/10/18","01:00","7.375","-","8.06"
"2023/10/18","01:06","7.341","-","8.08"
"2023/10/18","01:12","7.301","-","8.11"
"2023/10/18","01:18","7.255","-","8.14"
"2023/10/18","01:24","7.204","-","8.16"
"2023/10/18","01:30","7.149","-","8.18"
"2023/10/18","01:36","7.089","-","8.2"
"2023/10/18","01:42","7.026","-","8.21"
"2023/10/18","01:48","6.96","-","8.21"
"2023/10/18","01:54","6.891","-","8.2"
"2023/10/18","02:00","6.819","-","8.18"
"2023/10/18","02:06","6.744","-","8.15"
"2023/10/18","02:12","6.666","-","8.12"
"2023/10/18","02:18","6.586","-","8.07"
"2023/10/18","02:24","6.502","-","8.02"
"2023/10/18","02:30","6.415","-","7.94"
"2023/10/18","02:36","6.324","-","7.86"
"2023/10/18","02:42","6.229","-","7.76"
"2023/10/18","02:48","6.129","-","7.64"
"2023/10/18","02:54","6.025","-","7.51"
"2023/10/18","03:00","5.916","-","7.36"
"2023/10/18","03:06","5.802","-","7.21"
"2023/10/18","03:12","5.682","-","7.03"
"2023/10/18","03:18","5.556","-","6.83"
"2023/10/18","03:24","5.424","-","6.64"
"2023/10/18","03:30","5.285","-","6.43"
"2023/10/18","03:36","5.141","-","6.21"
"2023/10/18","03:42","4.99","-","5.98"
"2023/10/18","03:48","4.833","-","5.75"
"2023/10/18","03:54","4.67","-","5.51"
"2023/10/18","04:00","4.502","-","5.27"
"2023/10/18","04:06","4.329","-","5.02"
"2023/10/18","04:12","4.151","-","4.78"
"2023/10/18","04:18","3.969","-","4.53"
"2023/10/18","04:24","3.784","-","4.3"
"2023/10/18","04:30","3.597","-","4.06"
"2023/10/18","04:36","3.407","-","3.84"
"2023/10/18","04:42","3.217","-","3.62"
"2023/10/18","04:48","3.028","-","3.4"
"2023/10/18","04:54","2.839","-","3.2"
"2023/10/18","05:00","2.653","-","3"
"2023/10/18","05:06","2.471","-","2.82"
"2023/10/18","05:12","2.293","-","2.64"
"2023/10/18","05:18","2.12","-","2.49"
"2023/10/18","05:24","1.954","-","2.33"
"2023/10/18","05:30","1.796","-","2.2"
"2023/10/18","05:36","1.646","-","2.07"
"2023/10/18","05:42","1.505","-","1.96"
"2023/10/18","05:48","1.375","-","1.86"
"2023/10/18","05:54","1.256","-","1.78"
"2023/10/18","06:00","1.148","-","1.71"
"2023/10/18","06:06","1.051","-","1.66"
"2023/10/18","06:12","0.967","-","1.63"
"2023/10/18","06:18","0.896","-","1.61"
"2023/10/18","06:24","0.837","-","1.6"
"2023/10/18","06:30","0.791","-","1.6"
"2023/10/18","06:36","0.757","-","1.6"
"2023/10/18","06:42","0.735","-","1.6"
"2023/10/18","06:48","0.724","-","1.6"
"2023/10/18","06:54","0.725","-","1.61"
"2023/10/18","07:00","0.736","-","1.6"
"2023/10/18","07:06","0.758","-","1.6"
"2023/10/18","07:12","0.789","-","1.59"
"2023/10/18","07:18","0.828","-","1.59"
"2023/10/18","07:24","0.875","-","1.58"
"2023/10/18","07:30","0.929","-","1.58"
"2023/10/18","07:36","0.989","-","1.58"
"2023/10/18","07:42","1.055","-","1.58"
"2023/10/18","07:48","1.126","-","1.59"
"2023/10/18","07:54","1.202","-","1.6"
"2023/10/18","08:00","1.282","-","1.61"
"2023/10/18","08:06","1.365","-","1.64"
"2023/10/18","08:12","1.452","-","1.68"
"2023/10/18","08:18","1.542","-","1.72"
"2023/10/18","08:24","1.636","-","1.78"
"2023/10/18","08:30","1.733","-","1.83"
"2023/10/18","08:36","1.833","-","1.9"
"2023/10/18","08:42","1.938","-","1.97"
"2023/10/18","08:48","2.046","-","2.08"
"2023/10/18","08:54","2.16","-","2.19"
"2023/10/18","09:00","2.278","-","2.31"
"2023/10/18","09:06","2.403","-","2.45"
"2023/10/18","09:12","2.533","-","2.6"
"2023/10/18","09:18","2.67","-","2.77"
"2023/10/18","09:24","2.815","-","2.94"
"2023/10/18","09:30","2.967","-","3.13"
"2023/10/18","09:36","3.126","-","3.35"
"2023/10/18","09:42","3.294","-","3.57"
"2023/10/18","09:48","3.471","-","3.8"
"2023/10/18","09:54","3.655","-","4.04"
"2023/10/18","10:00","3.848","-","4.29"
"2023/10/18","10:06","4.048","-","4.55"
"2023/10/18","10:12","4.255","-","4.81"
"2023/10/18","10:18","4.469","-","5.07"
"2023/10/18","10:24","4.688","-","5.33"
"2023/10/18","10:30","4.912","-","5.59"
"2023/10/18","10:36","5.14","-","5.86"
"2023/10/18","10:42","5.37","-","6.12"
"2023/10/18","10:48","5.6","-","6.36"
"2023/10/18","10:54","5.831","-","6.59"
"2023/10/18","11:00","6.059","-","6.82"
"2023/10/18","11:06","6.284","-","7.04"
"2023/10/18","11:12","6.504","-","7.24"
"2023/10/18","11:18","6.717","-","7.44"
"2023/10/18","11:24","6.922","-","7.63"
"2023/10/18","11:30","7.118","-","7.79"
"2023/10/18","11:36","7.304","-","7.95"
"2023/10/18","11:42","7.477","-","8.08"
"2023/10/18","11:48","7.638","-","8.21"
"2023/10/18","11:54","7.785","-","8.32"
"2023/10/18","12:00","7.917","-","8.41"
"2023/10/18","12:06","8.035","-","8.49"
"2023/10/18","12:12","8.137","-","8.56"
"2023/10/18","12:18","8.224","-","8.6"
"2023/10/18","12:24","8.295","-","8.65"
"2023/10/18","12:30","8.35","-","8.68"
"2023/10/18","12:36","8.391","-","8.7"
"2023/10/18","12:42","8.417","-","8.72"
"2023/10/18","12:48","8.429","-","8.74"
"2023/10/18","12:54","8.427","-","8.75"
"2023/10/18","13:00","8.413","-","8.76"
"2023/10/18","13:06","8.388","-","8.77"
"2023/10/18","13:12","8.352","-","8.78"
"2023/10/18","13:18","8.306","-","8.79"
"2023/10/18","13:24","8.251","-","8.8"
"2023/10/18","13:30","8.188","-","8.8"
"2023/10/18","13:36","8.119","-","8.79"
"2023/10/18","13:42","8.043","-","8.78"
"2023/10/18","13:48","7.962","-","8.77"
"2023/10/18","13:54","7.876","-","8.75"
"2023/10/18","14:00","7.786","-","8.72"
"2023/10/18","14:06","7.693","-","8.68"
"2023/10/18","14:12","7.597","-","8.64"
"2023/10/18","14:18","7.497","-","8.59"
"2023/10/18","14:24","7.396","-","8.53"
"2023/10/18","14:30","7.291","-","8.47"
"2023/10/18","14:36","7.185","-","8.39"
"2023/10/18","14:42","7.075","-","8.31"
"2023/10/18","14:48","6.963","-","8.22"
"2023/10/18","14:54","6.848","-","8.12"
"2023/10/18","15:00","6.73","-","8"
"2023/10/18","15:06","6.609","-","7.87"
"2023/10/18","15:12","6.484","-","7.73"
"2023/10/18","15:18","6.355","-","7.58"
"2023/10/18","15:24","6.221","-","7.41"
"2023/10/18","15:30","6.082","-","7.23"
"2023/10/18","15:36","5.938","-","7.04"
"2023/10/18","15:42","5.789","-","6.85"
"2023/10/18","15:48","5.635","-","6.64"
"2023/10/18","15:54","5.475","-","6.43"
"2023/10/18","16:00","5.309","-","6.21"
"2023/10/18","16:06","5.137","-","5.99"
"2023/10/18","16:12","4.96","-","5.76"
"2023/10/18","16:18","4.777","-","5.52"
"2023/10/18","16:24","4.589","-","5.28"
"2023/10/18","16:30","4.396","-","5.05"
"2023/10/18","16:36","4.199","-","4.8"
"2023/10/18","16:42","3.998","-","4.54"
"2023/10/18","16:48","3.794","-","4.31"
"2023/10/18","16:54","3.588","-","4.08"
"2023/10/18","17:00","3.38","-","3.84"
"2023/10/18","17:06","3.172","-","3.62"
"2023/10/18","17:12","2.964","-","3.4"
"2023/10/18","17:18","2.758","-","3.19"
"2023/10/18","17:24","2.553","-","2.99"
"2023/10/18","17:30","2.352","-","2.79"
"2023/10/18","17:36","2.156","-","2.6"
"2023/10/18","17:42","1.965","-","2.43"
"2023/10/18","17:48","1.78","-","2.26"
"2023/10/18","17:54","1.603","-","2.11"
"2023/10/18","18:00","1.435","-","1.97"
"2023/10/18","18:06","1.275","-","1.84"
"2023/10/18","18:12","1.126","-","1.73"
"2023/10/18","18:18","0.987","-","1.64"
"2023/10/18","18:24","0.86","-","1.56"
"2023/10/18","18:30","0.744","-","1.49"
"2023/10/18","18:36","0.64","-","1.44"
"2023/10/18","18:42","0.549","-","1.4"
"2023/10/18","18:48","0.47","-","1.39"
"2023/10/18","18:54","0.403","-","1.36"
"2023/10/18","19:00","0.348","-","1.33"
"2023/10/18","19:06","0.305","-","1.32"
"2023/10/18","19:12","0.273","-","1.31"
"2023/10/18","19:18","0.253","-","1.29"
"2023/10/18","19:24","0.243","-","1.28"
"2023/10/18","19:30","0.242","-","1.25"
"2023/10/18","19:36","0.251","-","1.22"
"2023/10/18","19:42","0.267","-","1.18"
"2023/10/18","19:48","0.292","-","1.13"
"2023/10/18","19:54","0.323","-","1.1"
"2023/10/18","20:00","0.36","-","1.05"
"2023/10/18","20:06","0.402","-","1.01"
"2023/10/18","20:12","0.449","-","0.97"
"2023/10/18","20:18","0.501","-","0.93"
"2023/10/18","20:24","0.556","-","0.89"
"2023/10/18","20:30","0.615","-","0.87"
"2023/10/18","20:36","0.677","-","0.86"
"2023/10/18","20:42","0.742","-","0.85"
"2023/10/18","20:48","0.81","-","0.86"
"2023/10/18","20:54","0.882","-","0.88"
"2023/10/18","21:00","0.957","-","0.92"
"2023/10/18","21:06","1.036","-","0.97"
"2023/10/18","21:12","1.119","-","1.04"
"2023/10/18","21:18","1.207","-","1.14"
"2023/10/18","21:24","1.301","-","1.24"
"2023/10/18","21:30","1.4","-","1.37"
"2023/10/18","21:36","1.506","-","1.51"
"2023/10/18","21:42","1.619","-","1.66"
"2023/10/18","21:48","1.739","-","1.84"
"2023/10/18","21:54","1.868","-","2.03"
"2023/10/18","22:00","2.005","-","2.23"
"2023/10/18","22:06","2.151","-","2.45"
"2023/10/18","22:12","2.307","-","2.69"
"2023/10/18","22:18","2.471","-","2.93"
"2023/10/18","22:24","2.644","-","3.18"
"2023/10/18","22:30","2.826","-","3.44"
"2023/10/18","22:36","3.017","-","3.7"
"2023/10/18","22:42","3.215","-","3.97"
"2023/10/18","22:48","3.42","-","4.23"
"2023/10/18","22:54","3.631","-","4.49"
"2023/10/18","23:00","3.847","-","4.74"
"2023/10/18","23:06","4.067","-","4.99"
"2023/10/18","23:12","4.29","-","5.22"
"2023/10/18","23:18","4.513","-","5.43"
"2023/10/18","23:24","4.736","-","5.64"
"2023/10/18","23:30","4.957","-","5.85"
"2023/10/18","23:36","5.175","-","6.03"
"2023/10/18","23:42","5.388","-","6.22"
"2023/10/18","23:48","5.594","-","6.39"
"2023/10/18","23:54","5.793","-","6.54"
"2023/10/19","00:00","5.982","-","6.7"
"2023/10/19","00:06","6.161","-","6.83"
"2023/10/19","00:12","6.329","-","6.95"
"2023/10/19","00:18","6.484","-","7.06"
"2023/10/19","00:24","6.626","-","7.17"
"2023/10/19","00:30","6.755","-","7.25"
"2023/10/19","00:36","6.869","-","7.33"
"2023/10/19","00:42","6.969","-","7.4"
"2023/10/19","00:48","7.054","-","7.45"
"2023/10/19","00:54","7.125","-","7.5"
"2023/10/19","01:00","7.182","-","7.54"
"2023/10/19","01:06","7.226","-","7.57"
"2023/10/19","01:12","7.256","-","7.59"
"2023/10/19","01:18","7.274","-","7.61"
"2023/10/19","01:24","7.28","-","7.63"
"2023/10/19","01:30","7.275","-","7.65"
"2023/10/19","01:36","7.26","-","7.67"
"2023/10/19","01:42","7.236","-","7.69"
"2023/10/19","01:48","7.204","-","7.71"
"2023/10/19","01:54","7.165","-","7.72"
"2023/10/19","02:00","7.12","-","7.73"
"2023/10/19","02:06","7.069","-","7.75"
"2023/10/19","02:12","7.013","-","7.76"
"2023/10/19","02:18","6.953","-","7.76"
"2023/10/19","02:24","6.889","-","7.76"
"2023/10/19","02:30","6.823","-","7.76"
"2023/10/19","02:36","6.753","-","7.75"
"2023/10/19","02:42","6.682","-","7.73"
"2023/10/19","02:48","6.608","-","7.71"
"2023/10/19","02:54","6.532","-","7.68"
"2023/10/19","03:00","6.455","-","7.64"
"2023/10/19","03:06","6.375","-","7.58"
